key,IPA,Consonantal?,Voiced?,Sibilant?,Lateral?,Place of articulation,"Place
value",Manner of articulation,"Sonority
value"
1,p,+,−,−,−,B,3,P,4
2,b,+,+,−,−,B,3,P,4
3,p̪,+,−,−,−,B,2.5,P,4
4,b̪,+,+,−,−,B,2.5,P,4
5,t̪,+,−,−,−,D,1.666666667,P,4
6,d̪,+,+,−,−,D,1.666666667,P,4
7,t,+,−,−,−,D,0.75,P,4
8,d,+,+,−,−,D,0.75,P,4
9,ȶ,+,−,−,−,Ɉ,0,P,4
10,ȡ,+,+,−,−,Ɉ,0,P,4
11,t̠,+,−,−,−,Ɉ,-0.5,P,4
12,d̠,+,+,−,−,Ɉ,-0.5,P,4
13,ʈ,+,−,−,−,Ɉ,-1.25,P,4
14,ɖ,+,+,−,−,Ɉ,-1.25,P,4
15,kʷ,+,−,−,−,BK,-1.5,P,4
16,ɡʷ,+,+,−,−,BK,-1.5,P,4
17,c,+,−,−,−,Ɉ,-2,P,4
18,ɟ,+,+,−,−,Ɉ,-2,P,4
19,k,+,−,−,−,K,-3,P,4
20,ɡ,+,+,−,−,K,-3,P,4
21,ʔ,+,−,−,−,H,-6,P,4
22,t͡θ,+,−,−,−,D,2,P͡F,3
23,d͡ð,+,+,+,−,D,2,P͡F,3
24,t͡s̟,+,−,+,−,D,1.666666667,P͡F,3
25,d͡z̟,+,+,+,−,D,1.666666667,P͡F,3
26,t͡s̪,+,−,+,−,D,1.333333333,P͡F,3
27,d͡z̪,+,+,+,−,D,1.333333333,P͡F,3
28,t͡s,+,−,+,−,D,1,P͡F,3
29,d͡z,+,+,+,−,D,1,P͡F,3
30,t͡s̠,+,−,+,−,D,0.5,P͡F,3
31,d͡z̠,+,+,+,−,D,0.5,P͡F,3
32,t͡ɕ,+,−,+,−,Ɉ,0,P͡F,3
33,d͡ʑ,+,+,+,−,Ɉ,0,P͡F,3
34,t̠͡ʃ,+,−,+,−,Ɉ,-0.5,P͡F,3
35,d̠͡ʒ,+,+,+,−,Ɉ,-0.5,P͡F,3
36,ʈ͡ʂ,+,−,+,−,Ɉ,-1.25,P͡F,3
37,ɖ͡ʐ,+,+,+,−,Ɉ,-1.25,P͡F,3
38,c͡ç,+,−,−,−,Ɉ,-2,P͡F,3
39,ɟ͡ʝ,+,+,−,−,Ɉ,-2,P͡F,3
40,ɸ,+,−,−,−,B,3,F,2
41,β,+,+,−,−,B,3,F,2
42,f,+,−,−,−,B,2.5,F,2
43,v,+,+,−,−,B,2.5,F,2
44,θ,+,−,−,−,D,2,F,2
45,ð,+,+,−,−,D,2,F,2
46,s̟,+,−,+,−,D,1.666666667,F,2
47,z̟,+,+,+,−,D,1.666666667,F,2
48,s̪,+,−,+,−,D,1.333333333,F,2
49,z̪,+,+,+,−,D,1.333333333,F,2
50,s,+,−,+,−,D,1,F,2
51,z,+,+,+,−,D,1,F,2
52,s̠,+,−,+,−,D,0.5,F,2
53,z̠,+,+,+,−,D,0.5,F,2
54,ɕ,+,−,+,−,Ɉ,0,F,2
55,ʑ,+,+,+,−,Ɉ,0,F,2
56,ʃ,+,−,+,−,Ɉ,-0.5,F,2
57,ʒ,+,+,+,−,Ɉ,-0.5,F,2
58,ʂ,+,−,+,−,Ɉ,-1.25,F,2
59,ʐ,+,+,+,−,Ɉ,-1.25,F,2
60,ç,+,−,−,−,Ɉ,-2,F,2
61,ʝ,+,+,−,−,Ɉ,-2,F,2
62,ʎ̝,+,+,−,+,Ɉ,-2,F,2
63,x,+,−,−,−,K,-3,F,2
64,ɣ,+,+,−,−,K,-3,F,2
65,χ,+,−,−,−,Q,-4,F,2
66,ʁ,`,+,−,−,Q,-4,F,2
67,ħ,+,−,−,−,H,-5,F,2
68,h,+,−,−,−,H,-6,F,2
69,ɦ,+,+,−,−,H,-6,F,2
70,m,+,+,−,−,B,3,N,1.5
71,ɱ,+,+,−,−,B,2.5,N,1.5
72,n̪,+,+,−,−,D,1.666666667,N,1.5
73,n,+,+,−,−,D,0.75,N,1.5
74,ȵ,+,+,−,−,Ɉ,0,N,1.5
75,n̠,+,+,−,−,Ɉ,-0.5,N,1.5
76,ɲ,+,+,−,−,Ɉ,-2,N,1.5
77,ŋ,+,+,−,−,K,-3,N,1.5
78,r̪,+,+,−,−,D,1.666666667,L,1.25
79,r,+,+,−,−,D,0.75,L,1.25
80,ɽ,+,+,−,−,Ɉ,-1.25,L,1
81,ʀ,+,+,−,−,Q,-4,L,1.25
82,ɾ̪,+,+,−,−,D,1.666666667,L,1
83,ɾ,+,+,−,−,D,0.75,L,1
84,l̪,+,+,−,+,D,1.666666667,LW,0.75
85,l,+,+,−,+,D,0.75,LW,0.75
86,ȴ [ʎ̟],+,+,−,+,Ɉ,0,LW,0.75
