,treatment,environment,position,number,Languages,Consonantal +/−,Grapheme,IPA,IPA key,Lateral +/−,Manner of articulation,Place of articulation,Place value,Sibilant +/−,Sonority value,Voice +/−,version,voice,place,sonority
0,B-,"#_{a,O}",1,1.0,BR POR,+,b,b,2,−,P,B,3,−,4,+,a,0.0,3.0,4.0
1,B-,"#_{a,O}",1,1.0,AMR ESP,+,b,b,2,−,P,B,3,−,4,+,a,0.0,3.0,4.0
2,B-,"#_{a,O}",1,1.0,LAT,+,B,b,2,−,P,B,3,−,4,+,a,0.0,3.0,4.0
3,B-,"#_{a,O}",1,1.0,CAT,+,b,b,2,−,P,B,3,−,4,+,a,0.0,3.0,4.0
4,B-,"#_{a,O}",1,1.0,VAL,+,b,b,2,−,P,B,3,−,4,+,a,0.0,3.0,4.0
5,B-,"#_{a,O}",1,1.0,BAL,+,b,b,2,−,P,B,3,−,4,+,a,0.0,3.0,4.0
6,B-,"#_{a,O}",1,1.0,OCC,+,b,b,2,−,P,B,3,−,4,+,a,0.0,3.0,4.0
7,B-,"#_{a,O}",1,1.0,GAS OCC,+,b,b,2,−,P,B,3,−,4,+,a,0.0,3.0,4.0
8,B-,"#_{a,O}",1,1.0,EU FRA,+,b,b,2,−,P,B,3,−,4,+,a,0.0,3.0,4.0
9,B-,"#_{a,O}",1,1.0,QBC FRA,+,b,b,2,−,P,B,3,−,4,+,a,0.0,3.0,4.0
10,B-,"#_{a,O}",1,1.0,WAL,+,b,b,2,−,P,B,3,−,4,+,a,0.0,3.0,4.0
11,B-,"#_{a,O}",1,1.0,ARP,+,b,b,2,−,P,B,3,−,4,+,a,0.0,3.0,4.0
12,B-,"#_{a,O}",1,1.0,LIG,+,b,b,2,−,P,B,3,−,4,+,a,0.0,3.0,4.0
13,B-,"#_{a,O}",1,1.0,EU POR,+,b,b,2,−,P,B,3,−,4,+,a,0.0,3.0,4.0
14,B-,"#_{a,O}",1,1.0,LMO,+,b,b,2,−,P,B,3,−,4,+,a,0.0,3.0,4.0
15,B-,"#_{a,O}",1,1.0,RMH,+,b,b,2,−,P,B,3,−,4,+,a,0.0,3.0,4.0
16,B-,"#_{a,O}",1,1.0,FUR,+,b,b,2,−,P,B,3,−,4,+,a,0.0,3.0,4.0
17,B-,"#_{a,O}",1,1.0,LOG SRD,+,b (b),b (v),273,−,P (F),B,,−,,+,a,0.0,2.833333333,3.333333333
18,B-,"#_{a,O}",1,1.0,CPN SRD,+,b,b,2,−,P,B,3,−,4,+,a,0.0,3.0,4.0
19,B-,"#_{a,O}",1,1.0,COR,+,b,b,2,−,P,B,3,−,4,+,a,0.0,3.0,4.0
20,B-,"#_{a,O}",1,1.0,ITA,+,b,b,2,−,P,B,3,−,4,+,a,0.0,3.0,4.0
22,B-,"#_{a,O}",1,1.0,CAM,+,v,v,43,−,F,B,2.5,−,2,+,a,0.0,2.5,2.0
24,B-,"#_{a,O}",1,1.0,SCN,+,v,v,43,−,F,B,2.5,−,2,+,a,0.0,2.5,2.0
25,B-,"#_{a,O}",1,1.0,VEN,+,b,b,2,−,P,B,3,−,4,+,a,0.0,3.0,4.0
26,B-,"#_{a,O}",1,1.0,ARO,+,b,b,2,−,P,B,3,−,4,+,a,0.0,3.0,4.0
27,B-,"#_{a,O}",1,1.0,ROM,+,b,b,2,−,P,B,3,−,4,+,a,0.0,3.0,4.0
28,B-,"#_{a,O}",1,1.0,GAL,+,b,b,2,−,P,B,3,−,4,+,a,0.0,3.0,4.0
29,B-,"#_{a,O}",1,1.0,ASL,+,b,b,2,−,P,B,3,−,4,+,a,0.0,3.0,4.0
30,B-,"#_{a,O}",1,1.0,CAS ESP,+,b,b,2,−,P,B,3,−,4,+,a,0.0,3.0,4.0
31,B-,"#_{a,O}",1,1.0,AND ESP,+,b,b,2,−,P,B,3,−,4,+,a,0.0,3.0,4.0
32,B-,"#_{a,O}",1,1.0,ARG,+,b,b,2,−,P,B,3,−,4,+,a,0.0,3.0,4.0
0,B-,#_E,1,2.0,BR POR,+,b,b,2,−,P,B,3,−,4,+,a,0.0,3.0,4.0
1,B-,#_E,1,2.0,AMR ESP,+,b,b,2,−,P,B,3,−,4,+,a,0.0,3.0,4.0
2,B-,#_E,1,2.0,LAT,+,B,b,2,−,P,B,3,−,4,+,a,0.0,3.0,4.0
3,B-,#_E,1,2.0,CAT,+,b,b,2,−,P,B,3,−,4,+,a,0.0,3.0,4.0
4,B-,#_E,1,2.0,VAL,+,b,b,2,−,P,B,3,−,4,+,a,0.0,3.0,4.0
5,B-,#_E,1,2.0,BAL,+,b,b,2,−,P,B,3,−,4,+,a,0.0,3.0,4.0
6,B-,#_E,1,2.0,OCC,+,b,b,2,−,P,B,3,−,4,+,a,0.0,3.0,4.0
7,B-,#_E,1,2.0,GAS OCC,+,b,b,2,−,P,B,3,−,4,+,a,0.0,3.0,4.0
8,B-,#_E,1,2.0,EU FRA,+,b,b,2,−,P,B,3,−,4,+,a,0.0,3.0,4.0
9,B-,#_E,1,2.0,QBC FRA,+,b,b,2,−,P,B,3,−,4,+,a,0.0,3.0,4.0
10,B-,#_E,1,2.0,WAL,+,b,b,2,−,P,B,3,−,4,+,a,0.0,3.0,4.0
11,B-,#_E,1,2.0,ARP,+,b,b,2,−,P,B,3,−,4,+,a,0.0,3.0,4.0
12,B-,#_E,1,2.0,LIG,+,b,b,2,−,P,B,3,−,4,+,a,0.0,3.0,4.0
13,B-,#_E,1,2.0,EU POR,+,b,b,2,−,P,B,3,−,4,+,a,0.0,3.0,4.0
14,B-,#_E,1,2.0,LMO,+,b,b,2,−,P,B,3,−,4,+,a,0.0,3.0,4.0
15,B-,#_E,1,2.0,RMH,+,b,b,2,−,P,B,3,−,4,+,a,0.0,3.0,4.0
16,B-,#_E,1,2.0,FUR,+,b,b,2,−,P,B,3,−,4,+,a,0.0,3.0,4.0
17,B-,#_E,1,2.0,LOG SRD,+,b (b),b (v),273,−,P (F),B,,−,,+,a,0.0,2.833333333,3.333333333
18,B-,#_E,1,2.0,CPN SRD,+,b,b,2,−,P,B,3,−,4,+,a,0.0,3.0,4.0
19,B-,#_E,1,2.0,COR,+,b,b,2,−,P,B,3,−,4,+,a,0.0,3.0,4.0
20,B-,#_E,1,2.0,ITA,+,b,b,2,−,P,B,3,−,4,+,a,0.0,3.0,4.0
22,B-,#_E,1,2.0,CAM,+,v,v,43,−,F,B,2.5,−,2,+,a,0.0,2.5,2.0
24,B-,#_E,1,2.0,SCN,+,v,v,43,−,F,B,2.5,−,2,+,a,0.0,2.5,2.0
25,B-,#_E,1,2.0,VEN,+,b,b,2,−,P,B,3,−,4,+,a,0.0,3.0,4.0
26,B-,#_E,1,2.0,ARO,+,b,b,2,−,P,B,3,−,4,+,a,0.0,3.0,4.0
27,B-,#_E,1,2.0,ROM,+,b,b,2,−,P,B,3,−,4,+,a,0.0,3.0,4.0
28,B-,#_E,1,2.0,GAL,+,b,b,2,−,P,B,3,−,4,+,a,0.0,3.0,4.0
29,B-,#_E,1,2.0,ASL,+,b,b,2,−,P,B,3,−,4,+,a,0.0,3.0,4.0
30,B-,#_E,1,2.0,CAS ESP,+,b,b,2,−,P,B,3,−,4,+,a,0.0,3.0,4.0
31,B-,#_E,1,2.0,AND ESP,+,b,b,2,−,P,B,3,−,4,+,a,0.0,3.0,4.0
32,B-,#_E,1,2.0,ARG,+,b,b,2,−,P,B,3,−,4,+,a,0.0,3.0,4.0
0,T-,#_E,1,3.0,BR POR,+,t,t̪,5,−,P,D,,−,4,−,a,255.0,1.666666667,4.0
1,T-,#_E,1,3.0,AMR ESP,+,t,t̪,5,−,P,D,,−,4,−,a,255.0,1.666666667,4.0
