,number,treatment,environment,language,version,display,sonority_avg,place_avg,voice_avg
0,1.0,B-,"#_{a,O}",WAL,a,b,4.0,3.0,0.0
0,1.0,B-,"#_{a,O}",VEN,a,b,4.0,3.0,0.0
0,1.0,B-,"#_{a,O}",BR POR,a,b,4.0,3.0,0.0
0,1.0,B-,"#_{a,O}",QBC FRA,a,b,4.0,3.0,0.0
0,1.0,B-,"#_{a,O}",RMH,a,b,4.0,3.0,0.0
0,1.0,B-,"#_{a,O}",ROM,a,b,4.0,3.0,0.0
0,1.0,B-,"#_{a,O}",SCN,a,v,2.0,2.5,0.0
0,1.0,B-,"#_{a,O}",VAL,a,b,4.0,3.0,0.0
0,1.0,B-,"#_{a,O}",LMO,a,b,4.0,3.0,0.0
0,1.0,B-,"#_{a,O}",LOG SRD,a,b(v),3.333333333,2.833333333,0.0
0,1.0,B-,"#_{a,O}",OCC,a,b,4.0,3.0,0.0
0,1.0,B-,"#_{a,O}",LIG,a,b,4.0,3.0,0.0
0,1.0,B-,"#_{a,O}",GAL,a,b,4.0,3.0,0.0
0,1.0,B-,"#_{a,O}",LAT,a,b,4.0,3.0,0.0
0,1.0,B-,"#_{a,O}",ITA,a,b,4.0,3.0,0.0
0,1.0,B-,"#_{a,O}",GAS OCC,a,b,4.0,3.0,0.0
0,1.0,B-,"#_{a,O}",ASL,a,b,4.0,3.0,0.0
0,1.0,B-,"#_{a,O}",BAL,a,b,4.0,3.0,0.0
0,1.0,B-,"#_{a,O}",FUR,a,b,4.0,3.0,0.0
0,1.0,B-,"#_{a,O}",CAM,a,v,2.0,2.5,0.0
0,1.0,B-,"#_{a,O}",CAS ESP,a,b,4.0,3.0,0.0
0,1.0,B-,"#_{a,O}",CAT,a,b,4.0,3.0,0.0
0,1.0,B-,"#_{a,O}",COR,a,b,4.0,3.0,0.0
0,1.0,B-,"#_{a,O}",CPN SRD,a,b,4.0,3.0,0.0
0,1.0,B-,"#_{a,O}",EU FRA,a,b,4.0,3.0,0.0
